Data,Instituicao_Financeira,API,total_chamadas,paired,Percentual_Pareamento,Tempo_Resposta_P95
2025-09-17,IF 1,Resources,1475,1450,98.30798823248786,777.3693851904085
2025-09-17,IF 1,Fixed Incomes,1012,991,97.92721498717378,772.246912463324
2025-09-17,IF 2,Resources,1103,1047,94.95552143332138,1159.07590710125
2025-09-17,IF 2,Fixed Incomes,1101,823,74.80408249013745,1901.3182660762357
2025-09-18,IF 1,Resources,1345,1316,97.89765459780946,821.9266624607808
2025-09-18,IF 1,Fixed Incomes,1243,1215,97.79334693340991,783.2787436056439
2025-09-18,IF 2,Resources,1384,1266,91.50559551284586,1051.3297391355898
2025-09-18,IF 2,Fixed Incomes,1137,1108,97.48736119334406,672.2244631717542
2025-09-19,IF 1,Resources,1355,27,2.0640504835035483,11896.733430870287
2025-09-19,IF 1,Fixed Incomes,1113,131,11.796199780059379,12903.927759967053
2025-09-19,IF 2,Resources,828,777,93.851101657903,880.8669830420707
2025-09-19,IF 2,Fixed Incomes,1414,1001,70.8299901240102,1849.62054889404
2025-09-20,IF 1,Resources,1224,77,6.297112495330293,12127.878642367721
2025-09-20,IF 1,Fixed Incomes,965,54,5.601171150586474,8437.086119805548
2025-09-20,IF 2,Resources,1093,1030,94.25049996584738,1080.1736374158859
2025-09-20,IF 2,Fixed Incomes,1090,756,69.44565044326148,1759.7002379673102
2025-09-21,IF 1,Resources,995,94,9.52907978528792,9571.320273870133
2025-09-21,IF 1,Fixed Incomes,872,65,7.51757479230487,11459.968473077046
2025-09-21,IF 2,Resources,1470,748,50.91221507623946,882.3497025383889
2025-09-21,IF 2,Fixed Incomes,1201,867,72.23854510593586,1692.7035238622132
2025-09-22,IF 1,Resources,1475,1449,98.24610366805437,830.0512341663776
2025-09-22,IF 1,Fixed Incomes,973,956,98.29981453108239,748.2720023793296
2025-09-22,IF 2,Resources,1276,605,47.444683599447934,1034.9113982175086
2025-09-22,IF 2,Fixed Incomes,893,720,80.65217040799533,1757.323359299911
2025-09-23,IF 1,Resources,1192,1157,97.08797303142448,914.4938903922703
2025-09-23,IF 1,Fixed Incomes,1383,1373,99.30280444718855,660.1833562399487
2025-09-23,IF 2,Resources,974,938,96.32743947687264,773.0091587504337
2025-09-23,IF 2,Fixed Incomes,1484,1110,74.84401406249195,1656.7903518377202
2025-09-24,IF 1,Resources,1434,1399,97.6254734514789,765.2390454771382
2025-09-24,IF 1,Fixed Incomes,1178,1174,99.71065354884617,703.7805855957155
2025-09-24,IF 2,Resources,965,653,67.74232598280905,1048.5681026844416
2025-09-24,IF 2,Fixed Incomes,1270,690,54.34223091751463,1873.013614279881
2025-09-25,IF 1,Resources,1264,1253,99.16829741833699,828.7545819808009
2025-09-25,IF 1,Fixed Incomes,1058,1032,97.59740641262313,753.3467899542434
2025-09-25,IF 2,Resources,877,805,91.8853952027655,974.0508360810294
2025-09-25,IF 2,Fixed Incomes,1140,1098,96.31785297424628,754.4523358502921
2025-09-26,IF 1,Resources,1415,1385,97.9293697468719,848.1778117312788
2025-09-26,IF 1,Fixed Incomes,1227,1199,97.73614461731671,725.421156980595
2025-09-26,IF 2,Resources,1486,1345,90.57807074980077,954.9344859199049
2025-09-26,IF 2,Fixed Incomes,1006,723,71.89830431729133,1664.4146644548832
2025-09-27,IF 1,Resources,1342,1312,97.80905085665765,717.410669438469
2025-09-27,IF 1,Fixed Incomes,1048,1039,99.21149431772517,709.168806858492
2025-09-27,IF 2,Resources,1316,1305,99.19879851900332,920.7740446551022
2025-09-27,IF 2,Fixed Incomes,1023,751,73.45814881150284,1848.2849116594894
2025-09-28,IF 1,Resources,1253,1227,98.00364526687098,819.7687344639877
2025-09-28,IF 1,Fixed Incomes,1290,1263,97.94363589979484,798.5756390157593
2025-09-28,IF 2,Resources,900,858,95.38473141565936,971.43800746361
2025-09-28,IF 2,Fixed Incomes,1367,984,72.01743268688679,1670.2197456385027
2025-09-29,IF 1,Resources,1035,1008,97.47676868433588,753.2026328357523
2025-09-29,IF 1,Fixed Incomes,1104,1082,98.09718580673176,735.8106362418121
2025-09-29,IF 2,Resources,1019,983,96.55171773531637,1046.3286936529362
2025-09-29,IF 2,Fixed Incomes,855,821,96.08557039893843,798.2584301957326
2025-09-30,IF 1,Resources,1461,504,34.553923145175645,14486.472863089642
2025-09-30,IF 1,Fixed Incomes,1101,139,12.695511091444255,12218.56082666164
2025-09-30,IF 2,Resources,862,831,96.49035138312071,970.1228832579709
2025-09-30,IF 2,Fixed Incomes,1377,956,69.46178134666607,1604.5123536844208
